Loaded learner weights from /Users/utsumikensuke/Research/Cartpole/model_weights/best_flanker_rnn_model.pth
Start training on cpu...
Episode 13950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 14950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 15950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 16950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 17950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 18950 | Avg Return: 0.00 | Learner Acc: 100.00%
